
date,product,category,sales,revenue,profit_margin
2023-01-01,Product A,Category 1,100,5000,0.2
2023-01-02,Product B,Category 2,200,8000,0.25
2023-01-03,Product C,Category 1,150,7500,0.3
2023-01-04,Product A,Category 1,120,6000,0.2
2023-01-05,Product D,Category 3,80,4800,0.4
2023-01-06,Product B,Category 2,180,7200,0.25
2023-01-07,Product E,Category 3,90,5400,0.35
2023-01-08,Product C,Category 1,200,10000,0.3
2023-01-09,Product A,Category 1,110,5500,0.2
2023-01-10,Product D,Category 3,95,5700,0.4
